subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1614809227590,0,complex_dissimilar,1,background,background,complex,complex_09_B,5705.365000059828,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,2,background,background,complex,complex_09_B,4844.709999975748,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,3,background,background,complex,complex_09_B,3808.3150000311434,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,4,background,background,complex,complex_09_B,4393.739999970421,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,5,background,background,complex,complex_09_B,1478.3649999881163,first half,0,background,NA,NA
SS1614809227590,0,complex_dissimilar,6,background,background,complex,complex_09_B,2849.3550000712276,first half,0,background,NA,NA
SS1614809227590,1,simple_similar,1,background,background,simple,simple_18_B,3175.2949999645352,first half,2,background,3,6
SS1614809227590,1,simple_similar,2,background,background,simple,simple_18_B,1164.18999992311,first half,2,background,3,6
SS1614809227590,1,simple_similar,3,similar deviant,deviant,simple,simple_18_A,3057.5800000224262,first half,2,first_deviant,3,6
SS1614809227590,1,simple_similar,4,background,background,simple,simple_18_B,3281.2999999150634,first half,2,background,3,6
SS1614809227590,1,simple_similar,5,background,background,simple,simple_18_B,3434.275000006892,first half,2,background,3,6
SS1614809227590,1,simple_similar,6,similar deviant,deviant,simple,simple_18_A,4468.650000053458,first half,2,second_deviant,3,6
SS1614809227590,2,simple_similar,1,background,background,simple,simple_01_A,4749.214999959804,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,2,background,background,simple,simple_01_A,4044.1450000507757,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,3,background,background,simple,simple_01_A,3165.7150000100955,first half,0,background,NA,NA
SS1614809227590,2,simple_similar,4,background,background,simple,simple_01_A,6061.4000000059605,first half,0,background,NA,NA
SS1614809227590,3,complex_similar,1,background,background,complex,complex_08_B,2725.274999975227,first half,1,background,7,NA
SS1614809227590,3,complex_similar,2,background,background,complex,complex_08_B,2027.6050000684336,first half,1,background,7,NA
SS1614809227590,3,complex_similar,3,background,background,complex,complex_08_B,914.1750000417233,first half,1,background,7,NA
SS1614809227590,3,complex_similar,4,background,background,complex,complex_08_B,1871.3250000728294,first half,1,background,7,NA
SS1614809227590,3,complex_similar,5,background,background,complex,complex_08_B,1983.39000006672,first half,1,background,7,NA
SS1614809227590,3,complex_similar,6,background,background,complex,complex_08_B,2057.574999984354,first half,1,background,7,NA
SS1614809227590,3,complex_similar,7,similar deviant,deviant,complex,complex_08_A,1736.200000043027,first half,1,first_deviant,7,NA
SS1614809227590,4,complex_dissimilar,1,background,background,complex,complex_04_A,3486.5950000239536,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,2,background,background,complex,complex_04_A,6993.654999998398,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,3,background,background,complex,complex_04_A,1346.6450000414625,first half,2,background,4,5
SS1614809227590,4,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_18_B,5873.3200000133365,first half,2,first_deviant,4,5
SS1614809227590,4,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_18_B,1271.7699999921024,first half,2,second_deviant,4,5
SS1614809227590,4,complex_dissimilar,6,background,background,complex,complex_04_A,2333.1050000851974,first half,2,background,4,5
SS1614809227590,5,simple_dissimilar,1,background,background,simple,simple_07_B,2443.5250000096858,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,2,background,background,simple,simple_07_B,1621.1650000186637,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,3,background,background,simple,simple_07_B,2146.145000006072,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,4,background,background,simple,simple_07_B,1661.1350000603124,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,5,background,background,simple,simple_07_B,1847.550000064075,first half,1,background,6,NA
SS1614809227590,5,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_19_B,3250.1700000138953,first half,1,first_deviant,6,NA
SS1614809227590,6,simple_dissimilar,1,background,background,simple,simple_04_A,3749.485000036657,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,2,background,background,simple,simple_04_A,1199.1449999623,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,3,background,background,simple,simple_04_A,1933.6599999805912,second half,1,background,4,NA
SS1614809227590,6,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_17_B,5239.585000090301,second half,1,first_deviant,4,NA
SS1614809227590,6,simple_dissimilar,5,background,background,simple,simple_04_A,865.3400000184774,second half,1,background,4,NA
SS1614809227590,7,simple_dissimilar,1,background,background,simple,simple_19_A,1865.2599999913946,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,2,background,background,simple,simple_19_A,1586.479999939911,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,3,background,background,simple,simple_19_A,654.1649999562651,second half,2,background,4,5
SS1614809227590,7,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,3318.085000035353,second half,2,first_deviant,4,5
SS1614809227590,7,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_08_B,1517.4400000832975,second half,2,second_deviant,4,5
SS1614809227590,8,complex_similar,1,background,background,complex,complex_19_B,1223.1250000186265,second half,1,background,3,NA
SS1614809227590,8,complex_similar,2,background,background,complex,complex_19_B,1212.0799999684095,second half,1,background,3,NA
SS1614809227590,8,complex_similar,3,similar deviant,deviant,complex,complex_19_A,3328.459999989718,second half,1,first_deviant,3,NA
SS1614809227590,8,complex_similar,4,background,background,complex,complex_19_B,1259.0799999888986,second half,1,background,3,NA
SS1614809227590,9,complex_dissimilar,1,background,background,complex,complex_17_B,1178.0799999833107,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,2,background,background,complex,complex_17_B,1163.2599999429658,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,3,background,background,complex,complex_17_B,1309.0350000420585,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,4,background,background,complex,complex_17_B,1301.0200000135228,second half,1,background,5,NA
SS1614809227590,9,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_13_B,1610.5449999449775,second half,1,first_deviant,5,NA
SS1614809227590,10,complex_similar,1,background,background,complex,complex_15_B,3074.0249999798834,second half,2,background,3,6
SS1614809227590,10,complex_similar,2,background,background,complex,complex_15_B,695.0400000205263,second half,2,background,3,6
SS1614809227590,10,complex_similar,3,similar deviant,deviant,complex,complex_15_A,809.5399999292567,second half,2,first_deviant,3,6
SS1614809227590,10,complex_similar,4,background,background,complex,complex_15_B,1003.1099999323487,second half,2,background,3,6
SS1614809227590,10,complex_similar,5,background,background,complex,complex_15_B,719.0450000343844,second half,2,background,3,6
SS1614809227590,10,complex_similar,6,similar deviant,deviant,complex,complex_15_A,352.04499994870275,second half,2,second_deviant,3,6
SS1614809227590,11,simple_similar,1,background,background,simple,simple_15_A,766.8900000862777,second half,1,background,3,NA
SS1614809227590,11,simple_similar,2,background,background,simple,simple_15_A,513.0050000734627,second half,1,background,3,NA
SS1614809227590,11,simple_similar,3,similar deviant,deviant,simple,simple_15_B,441.03999994695187,second half,1,first_deviant,3,NA
SS1614809227590,11,simple_similar,4,background,background,simple,simple_15_A,98.05999998934567,second half,1,background,3,NA
SS1614809227590,11,simple_similar,5,background,background,simple,simple_15_A,939.3900000723079,second half,1,background,3,NA
SS1614809230494,0,complex_dissimilar,1,background,background,complex,complex_12_B,6390.58499969542,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,2,background,background,complex,complex_12_B,4094.8449997231364,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,3,background,background,complex,complex_12_B,4550.284999422729,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,4,background,background,complex,complex_12_B,3946.6700004413724,first half,1,background,5,NA
SS1614809230494,0,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_16_B,6421.5900003910065,first half,1,first_deviant,5,NA
SS1614809230494,1,simple_similar,1,background,background,simple,simple_12_A,1187.2850004583597,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,2,background,background,simple,simple_12_A,1194.395000115037,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,3,background,background,simple,simple_12_A,1905.850000679493,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,4,background,background,simple,simple_12_A,88.84500060230494,first half,0,background,NA,NA
SS1614809230494,1,simple_similar,5,background,background,simple,simple_12_A,1605.2450006827712,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,1,background,background,simple,simple_13_A,4360.2200001478195,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,2,background,background,simple,simple_13_A,1501.2150006368756,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,3,background,background,simple,simple_13_A,878.3050002530217,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,4,background,background,simple,simple_13_A,195.60000021010637,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,5,background,background,simple,simple_13_A,361.9699999690056,first half,0,background,NA,NA
SS1614809230494,2,simple_similar,6,background,background,simple,simple_13_A,138.96500039845705,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,1,background,background,complex,complex_18_A,8986.19999922812,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,2,background,background,complex,complex_18_A,3723.159999586642,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,3,background,background,complex,complex_18_A,3904.4199995696545,first half,0,background,NA,NA
SS1614809230494,3,complex_similar,4,background,background,complex,complex_18_A,2132.829999551177,first half,0,background,NA,NA
SS1614809230494,4,complex_similar,1,background,background,complex,complex_07_B,9547.010000795126,first half,2,background,2,4
SS1614809230494,4,complex_similar,2,similar deviant,deviant,complex,complex_07_A,2386.269999668002,first half,2,first_deviant,2,4
SS1614809230494,4,complex_similar,3,background,background,complex,complex_07_B,1078.2150002196431,first half,2,background,2,4
SS1614809230494,4,complex_similar,4,similar deviant,deviant,complex,complex_07_A,3919.145000167191,first half,2,second_deviant,2,4
SS1614809230494,4,complex_similar,5,background,background,complex,complex_07_B,3967.9199997335672,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,1,background,background,simple,simple_18_B,3916.9200006872416,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_08_B,3144.425000064075,first half,2,first_deviant,2,4
SS1614809230494,5,simple_dissimilar,3,background,background,simple,simple_18_B,3756.1450004577637,first half,2,background,2,4
SS1614809230494,5,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,2632.900000549853,first half,2,second_deviant,2,4
SS1614809230494,6,complex_dissimilar,1,background,background,complex,complex_06_B,7548.975000157952,second half,1,background,3,NA
SS1614809230494,6,complex_dissimilar,2,background,background,complex,complex_06_B,2592.810000292957,second half,1,background,3,NA
SS1614809230494,6,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_14_B,4260.230000130832,second half,1,first_deviant,3,NA
SS1614809230494,6,complex_dissimilar,4,background,background,complex,complex_06_B,2159.9949998781085,second half,1,background,3,NA
SS1614809230494,7,simple_similar,1,background,background,simple,simple_20_B,3076.905000023544,second half,2,background,2,3
SS1614809230494,7,simple_similar,2,similar deviant,deviant,simple,simple_20_A,2085.8599999919534,second half,2,first_deviant,2,3
SS1614809230494,7,simple_similar,3,similar deviant,deviant,simple,simple_20_A,792.6149992272258,second half,2,second_deviant,2,3
SS1614809230494,7,simple_similar,4,background,background,simple,simple_20_B,1297.1200002357364,second half,2,background,2,3
SS1614809230494,8,simple_dissimilar,1,background,background,simple,simple_11_B,2806.425000540912,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,2,background,background,simple,simple_11_B,3375.905000604689,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,3,background,background,simple,simple_11_B,3794.034999795258,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,4,background,background,simple,simple_11_B,2039.1549998894334,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,5,background,background,simple,simple_11_B,2330.900000408292,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,6,background,background,simple,simple_11_B,2296.3749999180436,second half,1,background,7,NA
SS1614809230494,8,simple_dissimilar,7,dissimilar deviant,deviant,simple,simple_02_B,5148.60500022769,second half,1,first_deviant,7,NA
SS1614809230494,9,simple_dissimilar,1,background,background,simple,simple_10_A,2830.2899999544024,second half,2,background,2,4
SS1614809230494,9,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_11_A,2240.9800002351403,second half,2,first_deviant,2,4
SS1614809230494,9,simple_dissimilar,3,background,background,simple,simple_10_A,2941.5749991312623,second half,2,background,2,4
SS1614809230494,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_11_A,3882.3549998924136,second half,2,second_deviant,2,4
SS1614809230494,9,simple_dissimilar,5,background,background,simple,simple_10_A,4682.634999975562,second half,2,background,2,4
SS1614809230494,10,complex_dissimilar,1,background,background,complex,complex_13_A,6562.0799995958805,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,2,background,background,complex,complex_13_A,5055.060000158846,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,3,background,background,complex,complex_13_A,5643.509999848902,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,4,background,background,complex,complex_13_A,7594.159999862313,second half,0,background,NA,NA
SS1614809230494,10,complex_dissimilar,5,background,background,complex,complex_13_A,488.0899991840124,second half,0,background,NA,NA
SS1614809230494,11,complex_similar,1,background,background,complex,complex_11_B,4174.045000225306,second half,2,background,4,5
SS1614809230494,11,complex_similar,2,background,background,complex,complex_11_B,4104.975000023842,second half,2,background,4,5
SS1614809230494,11,complex_similar,3,background,background,complex,complex_11_B,4692.210000008345,second half,2,background,4,5
SS1614809230494,11,complex_similar,4,similar deviant,deviant,complex,complex_11_A,2905.7299997657537,second half,2,first_deviant,4,5
SS1614809230494,11,complex_similar,5,similar deviant,deviant,complex,complex_11_A,3621.174999512732,second half,2,second_deviant,4,5
SS1614809230494,11,complex_similar,6,background,background,complex,complex_11_B,4480.535000562668,second half,2,background,4,5
SS1614809233708,0,simple_dissimilar,1,background,background,simple,simple_03_B,4110.954999981914,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,2,background,background,simple,simple_03_B,2338.500000012573,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,3,background,background,simple,simple_03_B,4986.014999973122,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,4,background,background,simple,simple_03_B,3639.6550000063144,first half,2,background,5,6
SS1614809233708,0,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_02_A,5529.98499997193,first half,2,first_deviant,5,6
SS1614809233708,0,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_02_A,6561.920000007376,first half,2,second_deviant,5,6
SS1614809233708,1,complex_dissimilar,1,background,background,complex,complex_03_B,3498.0450000148267,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,2,background,background,complex,complex_03_B,3363.8300000457093,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,3,background,background,complex,complex_03_B,1109.8900000215508,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,4,background,background,complex,complex_03_B,747.1450000302866,first half,0,background,NA,NA
SS1614809233708,1,complex_dissimilar,5,background,background,complex,complex_03_B,1290.7499999855645,first half,0,background,NA,NA
SS1614809233708,2,simple_dissimilar,1,background,background,simple,simple_07_A,5542.695000011008,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_10_A,3382.274999981746,first half,1,first_deviant,2,NA
SS1614809233708,2,simple_dissimilar,3,background,background,simple,simple_07_A,1719.5000000065193,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,4,background,background,simple,simple_07_A,5759.164999995846,first half,1,background,2,NA
SS1614809233708,2,simple_dissimilar,5,background,background,simple,simple_07_A,2811.0750000341795,first half,1,background,2,NA
SS1614809233708,3,complex_similar,1,background,background,complex,complex_07_A,6357.029999955557,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,2,background,background,complex,complex_07_A,1865.7200000016019,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,3,background,background,complex,complex_07_A,257.6200000476092,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,4,background,background,complex,complex_07_A,15.294999990146607,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,5,background,background,complex,complex_07_A,980.150000017602,first half,0,background,NA,NA
SS1614809233708,3,complex_similar,6,background,background,complex,complex_07_A,14.8250000202097,first half,0,background,NA,NA
SS1614809233708,4,complex_similar,1,background,background,complex,complex_13_B,1111.0399999888614,first half,2,background,2,3
SS1614809233708,4,complex_similar,2,similar deviant,deviant,complex,complex_13_A,1344.4799999706447,first half,2,first_deviant,2,3
SS1614809233708,4,complex_similar,3,similar deviant,deviant,complex,complex_13_A,143.3299999916926,first half,2,second_deviant,2,3
SS1614809233708,4,complex_similar,4,background,background,complex,complex_13_B,91.1799999885261,first half,2,background,2,3
SS1614809233708,5,complex_similar,1,background,background,complex,complex_12_B,39.57500000251457,first half,2,background,4,5
SS1614809233708,5,complex_similar,2,background,background,complex,complex_12_B,413.5600000154227,first half,2,background,4,5
SS1614809233708,5,complex_similar,3,background,background,complex,complex_12_B,495.1899999869056,first half,2,background,4,5
SS1614809233708,5,complex_similar,4,similar deviant,deviant,complex,complex_12_A,201.6149999690242,first half,2,first_deviant,4,5
SS1614809233708,5,complex_similar,5,similar deviant,deviant,complex,complex_12_A,219.76000000722706,first half,2,second_deviant,4,5
SS1614809233708,6,complex_dissimilar,1,background,background,complex,complex_14_A,78.1999999890104,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,2,background,background,complex,complex_14_A,366.58999999053776,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,3,background,background,complex,complex_14_A,246.67000002227724,second half,0,background,NA,NA
SS1614809233708,6,complex_dissimilar,4,background,background,complex,complex_14_A,61.97999999858439,second half,0,background,NA,NA
SS1614809233708,7,simple_similar,1,background,background,simple,simple_20_A,365.4050000477582,second half,2,background,4,6
SS1614809233708,7,simple_similar,2,background,background,simple,simple_20_A,130.074999993667,second half,2,background,4,6
SS1614809233708,7,simple_similar,3,background,background,simple,simple_20_A,382.7900000032969,second half,2,background,4,6
SS1614809233708,7,simple_similar,4,similar deviant,deviant,simple,simple_20_B,89.22500000335276,second half,2,first_deviant,4,6
SS1614809233708,7,simple_similar,5,background,background,simple,simple_20_A,137.9949999973178,second half,2,background,4,6
SS1614809233708,7,simple_similar,6,similar deviant,deviant,simple,simple_20_B,344.8699999717064,second half,2,second_deviant,4,6
SS1614809233708,8,complex_dissimilar,1,background,background,complex,complex_10_A,22.529999958351254,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_19_B,282.6449999702163,second half,2,first_deviant,2,3
SS1614809233708,8,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_19_B,580.8449999894947,second half,2,second_deviant,2,3
SS1614809233708,8,complex_dissimilar,4,background,background,complex,complex_10_A,55.6549999746494,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,5,background,background,complex,complex_10_A,425.9699999820441,second half,2,background,2,3
SS1614809233708,8,complex_dissimilar,6,background,background,complex,complex_10_A,137.37499999115244,second half,2,background,2,3
SS1614809233708,9,simple_similar,1,background,background,simple,simple_06_A,318.39000002946705,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,2,background,background,simple,simple_06_A,465.60500003397465,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,3,background,background,simple,simple_06_A,195.78499998897314,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,4,background,background,simple,simple_06_A,104.45499996421859,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,5,background,background,simple,simple_06_A,128.26000002678484,second half,0,background,NA,NA
SS1614809233708,9,simple_similar,6,background,background,simple,simple_06_A,58.55999997584149,second half,0,background,NA,NA
SS1614809233708,10,simple_dissimilar,1,background,background,simple,simple_18_B,228.95499999867752,second half,1,background,2,NA
SS1614809233708,10,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_01_A,320.32499997876585,second half,1,first_deviant,2,NA
SS1614809233708,10,simple_dissimilar,3,background,background,simple,simple_18_B,309.58000000100583,second half,1,background,2,NA
SS1614809233708,10,simple_dissimilar,4,background,background,simple,simple_18_B,222.27999998722225,second half,1,background,2,NA
SS1614809250148,0,complex_dissimilar,1,background,background,complex,complex_06_A,1112.91000014171,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,2,background,background,complex,complex_06_A,2961.14999987185,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,3,background,background,complex,complex_06_A,608.8800001889467,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,4,background,background,complex,complex_06_A,530.7800001464784,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,5,background,background,complex,complex_06_A,347.19999972730875,first half,0,background,NA,NA
SS1614809250148,0,complex_dissimilar,6,background,background,complex,complex_06_A,1111.039999872446,first half,0,background,NA,NA
SS1614809250148,1,simple_similar,1,background,background,simple,simple_02_A,383.8100000284612,first half,2,background,2,5
SS1614809250148,1,simple_similar,2,similar deviant,deviant,simple,simple_02_B,2079.684999771416,first half,2,first_deviant,2,5
SS1614809250148,1,simple_similar,3,background,background,simple,simple_02_A,372.5649998523295,first half,2,background,2,5
SS1614809250148,1,simple_similar,4,background,background,simple,simple_02_A,526.0999999009073,first half,2,background,2,5
SS1614809250148,1,simple_similar,5,similar deviant,deviant,simple,simple_02_B,387.4349999241531,first half,2,second_deviant,2,5
SS1614809250148,2,simple_similar,1,background,background,simple,simple_04_A,187.0550001040101,first half,2,background,2,5
SS1614809250148,2,simple_similar,2,similar deviant,deviant,simple,simple_04_B,186.63999997079372,first half,2,first_deviant,2,5
SS1614809250148,2,simple_similar,3,background,background,simple,simple_04_A,173.82000014185905,first half,2,background,2,5
SS1614809250148,2,simple_similar,4,background,background,simple,simple_04_A,1099.389999639243,first half,2,background,2,5
SS1614809250148,2,simple_similar,5,similar deviant,deviant,simple,simple_04_B,293.89999993145466,first half,2,second_deviant,2,5
SS1614809250148,2,simple_similar,6,background,background,simple,simple_04_A,320.89499989524484,first half,2,background,2,5
SS1614809250148,3,complex_similar,1,background,background,complex,complex_15_A,606.5750000998378,first half,0,background,NA,NA
SS1614809250148,3,complex_similar,2,background,background,complex,complex_15_A,378.90500016510487,first half,0,background,NA,NA
SS1614809250148,3,complex_similar,3,background,background,complex,complex_15_A,315.92500023543835,first half,0,background,NA,NA
SS1614809250148,3,complex_similar,4,background,background,complex,complex_15_A,321.7250001616776,first half,0,background,NA,NA
SS1614809250148,4,complex_similar,1,background,background,complex,complex_12_B,416.9300002977252,first half,2,background,6,7
SS1614809250148,4,complex_similar,2,background,background,complex,complex_12_B,361.1350003629923,first half,2,background,6,7
SS1614809250148,4,complex_similar,3,background,background,complex,complex_12_B,400.50500025972724,first half,2,background,6,7
SS1614809250148,4,complex_similar,4,background,background,complex,complex_12_B,1865.1549997739494,first half,2,background,6,7
SS1614809250148,4,complex_similar,5,background,background,complex,complex_12_B,329.7800002619624,first half,2,background,6,7
SS1614809250148,4,complex_similar,6,similar deviant,deviant,complex,complex_12_A,332.26999966427684,first half,2,first_deviant,6,7
SS1614809250148,4,complex_similar,7,similar deviant,deviant,complex,complex_12_A,474.08000007271767,first half,2,second_deviant,6,7
SS1614809250148,5,complex_dissimilar,1,background,background,complex,complex_07_B,424.1149998269975,first half,0,background,NA,NA
SS1614809250148,5,complex_dissimilar,2,background,background,complex,complex_07_B,411.30000026896596,first half,0,background,NA,NA
SS1614809250148,5,complex_dissimilar,3,background,background,complex,complex_07_B,398.760000243783,first half,0,background,NA,NA
SS1614809250148,5,complex_dissimilar,4,background,background,complex,complex_07_B,1191.0000001080334,first half,0,background,NA,NA
SS1614809250148,6,simple_similar,1,background,background,simple,simple_08_B,339.7499998100102,second half,0,background,NA,NA
SS1614809250148,6,simple_similar,2,background,background,simple,simple_08_B,332.91999995708466,second half,0,background,NA,NA
SS1614809250148,6,simple_similar,3,background,background,simple,simple_08_B,486.2250001169741,second half,0,background,NA,NA
SS1614809250148,6,simple_similar,4,background,background,simple,simple_08_B,290.26499995961785,second half,0,background,NA,NA
SS1614809250148,6,simple_similar,5,background,background,simple,simple_08_B,323.55500012636185,second half,0,background,NA,NA
SS1614809250148,7,complex_similar,1,background,background,complex,complex_13_B,259.4150002114475,second half,0,background,NA,NA
SS1614809250148,7,complex_similar,2,background,background,complex,complex_13_B,603.2700003124774,second half,0,background,NA,NA
SS1614809250148,7,complex_similar,3,background,background,complex,complex_13_B,444.47500025853515,second half,0,background,NA,NA
SS1614809250148,7,complex_similar,4,background,background,complex,complex_13_B,311.9749999605119,second half,0,background,NA,NA
SS1614809250148,8,complex_dissimilar,1,background,background,complex,complex_11_B,480.77999986708164,second half,1,background,2,NA
SS1614809250148,8,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_17_B,619.3099999800324,second half,1,first_deviant,2,NA
SS1614809250148,8,complex_dissimilar,3,background,background,complex,complex_11_B,430.5699998512864,second half,1,background,2,NA
SS1614809250148,8,complex_dissimilar,4,background,background,complex,complex_11_B,627.840000204742,second half,1,background,2,NA
SS1614809250148,8,complex_dissimilar,5,background,background,complex,complex_11_B,1309.9050000309944,second half,1,background,2,NA
SS1614809250148,9,simple_dissimilar,1,background,background,simple,simple_07_A,713.735000230372,second half,1,background,5,NA
SS1614809250148,9,simple_dissimilar,2,background,background,simple,simple_07_A,365.73499999940395,second half,1,background,5,NA
SS1614809250148,9,simple_dissimilar,3,background,background,simple,simple_07_A,327.0399998873472,second half,1,background,5,NA
SS1614809250148,9,simple_dissimilar,4,background,background,simple,simple_07_A,1868.5949998907745,second half,1,background,5,NA
SS1614809250148,9,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_06_B,3472.9499998502433,second half,1,first_deviant,5,NA
SS1614809250148,9,simple_dissimilar,6,background,background,simple,simple_07_A,383.7250000797212,second half,1,background,5,NA
SS1614809250148,10,simple_dissimilar,1,background,background,simple,simple_06_A,438.20999981835485,second half,0,background,NA,NA
SS1614809250148,10,simple_dissimilar,2,background,background,simple,simple_06_A,581.74500009045,second half,0,background,NA,NA
SS1614809250148,10,simple_dissimilar,3,background,background,simple,simple_06_A,1930.980000179261,second half,0,background,NA,NA
SS1614809250148,10,simple_dissimilar,4,background,background,simple,simple_06_A,280.86499962955713,second half,0,background,NA,NA
SS1614809250148,10,simple_dissimilar,5,background,background,simple,simple_06_A,256.19499990716577,second half,0,background,NA,NA
SS1614809250148,11,simple_dissimilar,1,background,background,simple,simple_17_A,2556.1850001104176,second half,1,background,3,NA
SS1614809250148,11,simple_dissimilar,2,background,background,simple,simple_17_A,873.9700000733137,second half,1,background,3,NA
SS1614809250148,11,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_14_A,387.5800003297627,second half,1,first_deviant,3,NA
SS1614809250148,11,simple_dissimilar,4,background,background,simple,simple_17_A,394.0399996936321,second half,1,background,3,NA
SS1614809317617,0,simple_dissimilar,1,background,background,simple,simple_14_B,4572.385000064969,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,2,background,background,simple,simple_14_B,3999.504999956116,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,3,background,background,simple,simple_14_B,11780.229999916628,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_11_A,17399.280000012368,first half,2,first_deviant,4,6
SS1614809317617,0,simple_dissimilar,5,background,background,simple,simple_14_B,8538.204999873415,first half,2,background,4,6
